Completion_Time,Feedback_Rating,Attendance,Performance_Score
3.26,4.09,86.5,70.98
3.958567264,1.33,59.23,42.16
5.78,2.909313072,42.98,49.89
4.28,1.43,83.16,68.49
1.53,1.91,74.1,77.51
2.07,2.46,86.93,97.98
1.24,1.8,98.06,72.22
5.86,3.38,55.83,55.62
4.23,3.05,85.48,79.96
5.31,2.04,61.52,65.64
1,4.34,0,95.37
7,1.92,31.05,59.55
5.9,2.71,56.8,73.69
1.98,1.33,65.99,68.94
2.22,1.01,67.1,73.52
1.84,1,94.98,66.79
2.82,1,87.09,52.54
3.958567264,3.56,98.61,59.46
3.54,1,8.47,56.65
3.05,2.909313072,26.47,58.19
4.39,1,66.38,53.18
2.24,1.8,42.26,56.06
3.04,5,66.32,86.84
3.03,1.83,83.65,56.18
3.42,4.74,76.54,81.34
5.49,1,69.27,43.09
2.03,4.45,57.45,84.88
4.15,3.57,51.11,78.32
4.1,2.62,60.94,64.94
1.69,5,3.33,78.86
4.25,1.82,89.27,50.05
1.8,5,55.62,86.89
1,5,86.21,100
6.45,4.38,69.28,69.46
7,2.64,24.4,58.41
5.97,2.18,90.64,55.13
2.56,5,78.98,94.96
1.96,2.97,61.79,63.74
5.41,4.05,94.73,65.78
3.89,3,52.26,41.81
2.08,2.69,60.09,90.93
4.09,1,87.6,52.86
1.21,1,1.76,73.71
6.33,2.23,64.46,52.61
2.27,4.86,62.76976795,77.14
5.04,3.28,92.9,74.13
3.26,1,65.68,56.28
4.21,1.8,59.79,45
4.7,3.83,41.66,77.46
1.97,5,95.51,100
7,3.24,52.18,57.6
5.8,3.64,88.29,66.46
6.81,5,52.53,72.34
6.52,1,71.27,55.67
4.31,4.7,87.2,64.48
6.17,1.91,98.29,63.22
2.01,1.79,61.46,76.85
1.73,4.9,57.18,77.79
1.24,2.11,6.07,89.23
2.88,3.87,83.45,71
3.19,2.83,71.9,60.83
2.91,2.75,78.66,52.59
6.22,4.93,4.95,66.57
3.55,1.72,88.65,60.7
2.59,1,95.99,69.42
4.32,4.42,44.68,66.73
2.24,1.72,64.67,78.72
6.3,2.01,60.28,68.4
1.92,3.81,70.79,80.42
7,3.58,79.73,74.88
5.27,5,71,71.83
1.71,2.23,36.28,80.07
1.36,1.54,4.77,85.98
6.23,2.01,84.55,56.38
5.49,2.93,63.3,84.76
5.15,1.9,74.67,49.77
5.77,1,58.26,43.04
1.26,2.57,70.73,74.32
3.958567264,1,89.31,57.35
1.58,5,70.64,95.12
6.59,1.35,84.83,66.09
4.47,4.83,75.36,70.45
3.07,4.42,37.83,77.46
1.24,3.79,89.81,84.33
3.03,1.93,54.21,48.26
3.01,4.25,76.24,73.87
5.8,4.66,60.44,67.3
4.43,1.67,1.95,54.52
3.958567264,3.03,75.15,70.27
4.1,2.71,74.98,54.45
1.59,3.49,85.35,73.5
4.95,2.909313072,52.75,53.12
5.56,3.29,86.39,55.68
4.52,4.19,70.48,79.87
5.17,5,46.61,78.67
3.75,2.33,78.85,68.34
4.45,3.16,44.48,71.42
3.59,2.909313072,7.37,75.39
1,1,8.66,81.78
1.43,2.47,59.64,62.92
1.33,5,0.32,100
4.52,4.27,26.77,58.27
3.22,4.73,65.42,85.64
4.23,3.15,31.77,53.08
6.42,2.81,56.64,67.79
3.958567264,1,56.56,55.73
3.35,1.04,60.68,61.58
5.27,2.05,91.43,64.25
2.53,3.08,43.27,70.56
1.53,1,72.92,62.97
2.58,1,96.65,66.24
1.81,1,91.54,60.9
6.48,5,74.97,64.58
5.64,4.57,85.09,56.8
5.01,2.18,78.35,48.86
6.38,1,62.76976795,41.03
5.76,1,66.55,36.92
2.02,2.909313072,73.1,79.76
6.23,2.98,62.76976795,29.18
3.958567264,3.82,67.87,71.09
5.43,1.8,53.35,40.53
6.15,1.8,97.66,50.69
2.73,2.56,98.15,97.99
1.71,4.67,77.79,84.48
2.64,1.09,80.33,63.75
3.46,4,59.29,80.95
6.35,1.97,84.77,63.24
6.49,4,31.43,62.25
1.52,5,6.44,86.3
4.44,1.73,83.42,73.85
3.62,4.77,65.52,83.1
2.43,1,52.49,53.85
1.35,3.3,91.59,93.27
3.25,3.64,65.52,65.99
6.76,1,24.38,33.42
2.95,1,53.74,44.75
4.3,2.909313072,42.03,52.1
5.16,3.4,58.9,66.61
3.2,3.07,5.95,82.65
6.73,3.01,41.09,52.74
6.99,1.8,90.23,43.18
2.89,1.88,58.69,73.36
4.32,5,74.64,82.74
3.1,1.59,84.4,71.36
2.22,2.5,82.6,83.42
1.63,5,7.63,92.12
4.43,4.94,70.85,84.51
4.41,2.08,23.9,59.87
1.01,2.43,74.69,95.39
2.61,4.17,61.66,71.83
6.7,5,53.89,62.35
2.58,3.56,0,55.82
1.79,2.909313072,24.18,68.74
4.12,2.81,81.65,48.83
6.96,3.18,62.99,64.23
2.23,1.67,59.51,70.24
5.18,1.8,50.21,50.92
5.27,1,80.68,47.99
2.62,4.41,62.43,84.95
4.87,5,36.75,70.71
3.26,4.81,80.68,70.34
4.69,4.26,97.29,75.15
4.6,4.5,83.74,69.65
4.23,1,89.15,62.94
3.958567264,4.46,62.76976795,95.14
6.48,1,63.61,43.65
3.25,3.47,72.71,72.52
2.34,2.18,90.36,78.81
1.22,2.79,7.59,83.76
4.44,4.43,92.34,66.34
4.6,2.88,99.44,74.19
1,2.36,8.86,65.59
4.42,2.05,52.27,60.79
2.24,1,57.48,58.69
4.83,3.34,38.28,47.96
1.82,2.86,56.55,52.66
4.92,4.85,93.53,74.93
2.88,2.51,51.16,62.03
6.73,2.51,65.79,57.36
1.78,3.71,59.23,82.34
3.16,1.72,96.58,81.88
1.73,3.68,63.2,83.41
6.85,2.35,6.32,53.18
6.51,2.3,98.62,54.43
2.82,3.36,74.85,81.54
4.96,1.98,61.72,57.5
5.75,4.2,59.69,63.01
4.76,4,61.15,75.25
3.73,2.909313072,85.43,59.25
2.1,1.8,20.54,54.91
1.48,4.32,52.57,76.8
6.49,2,80.41,46.14
5.91,1,82.1,39.65
5.02,4,83.26,85.35
3.09,1,48.22,60.99
3.08,3.72,55.6,96.92
3.958567264,2.909313072,76.68,70.12
6.4,3.85,62.76976795,62.36
5.98,1.8,89.85,52.42
5.29,1,66.87,58.03
4.64,2.89,20.76,61.65
1.71,3.29,62.76976795,64.58
2.06,1.22,74.38,73.71
6.37,2.909313072,57.32,44.36
4.71,2.44,93.39,59.92
1.12,1,7.29,62.56
1.42,3.15,62.76976795,96.77
4.58,3.27,48.92,55.34
1.43,1.8,9.28,61.66
2.06,4.32,59.61,79.9
4.49,4,34.34,84.11
5.11,1.32,52.37,46.04
5.17,2.27,62.04,42.81
2.43,3.08,67.27,76.93
4.82,5,91.66,82.64
2.81,3.94,28.36,80.19
2.76,4.29,62.76976795,77.46
5.12,2.06,71.97,47.8
4.49,3.97,89.24,66.59
6.32,2.16,98.81,45.2
5.15,2.909313072,61.99,68.47
4.61,2.909313072,57.88,80.61
1.98,4,81.09,100
3.06,1.84,68.2,62.31
2.65,1,62.76976795,57.38
2.58,2.98,71.2,74.1
7,3.63,61.4,61.02
3.17,3.96,53.5,77.93
6.81,3.37,76.78,47.68
4.44,3.65,3.74,56.87
3.958567264,1.05,86.9,64.93
4.15,3.12,66.37,58.41
4.78,3.44,3.34,87.76
3.49,4.5,88.45,70.81
